iter	Passed	Remaining
0	2	2639
1	4	2273
2	6	2141
3	8	2078
4	10	2127
5	13	2161
6	16	2272
7	17	2212
8	19	2164
9	21	2153
10	23	2126
11	26	2195
12	29	2246
13	32	2258
14	34	2241
15	36	2219
16	37	2194
17	40	2194
18	42	2198
19	44	2199
20	47	2213
21	49	2209
22	51	2181
23	53	2162
24	56	2186
25	58	2183
26	60	2197
27	63	2197
28	65	2184
29	67	2185
30	69	2173
31	72	2192
32	75	2210
33	77	2203
34	79	2188
35	81	2183
36	83	2165
37	85	2156
38	87	2161
39	90	2161
40	92	2156
41	94	2148
42	96	2137
43	98	2131
44	100	2142
45	103	2150
46	106	2157
47	108	2142
48	109	2126
49	111	2111
50	113	2106
51	115	2107
52	118	2109
53	120	2112
54	122	2099
55	123	2086
56	125	2076
57	127	2065
58	128	2055
59	131	2054
60	133	2056
61	135	2055
62	137	2047
63	139	2037
64	141	2028
65	142	2019
66	144	2016
67	146	2012
68	149	2010
69	150	2005
70	152	1998
71	154	1992
72	156	1985
73	158	1977
74	160	1973
75	162	1975
76	164	1973
77	166	1966
78	167	1957
79	169	1950
80	171	1943
81	172	1936
82	173	1919
83	175	1918
84	177	1915
85	179	1912
86	181	1906
87	183	1899
88	184	1893
89	186	1886
90	188	1880
91	190	1880
92	192	1877
93	194	1875
94	196	1868
95	197	1862
96	199	1857
97	201	1850
98	202	1844
99	204	1839
100	206	1839
101	208	1835
102	210	1831
103	212	1826
104	213	1821
105	215	1815
106	216	1809
107	218	1805
108	220	1802
109	222	1801
110	224	1798
111	226	1792
112	227	1788
113	229	1783
114	231	1778
115	232	1773
116	233	1765
117	235	1763
118	238	1762
119	240	1760
120	241	1756
121	243	1751
122	245	1746
123	246	1742
124	248	1737
125	250	1734
126	251	1730
127	253	1726
128	255	1723
129	256	1719
130	258	1715
131	260	1712
132	262	1708
133	263	1703
134	266	1704
135	267	1702
136	269	1699
137	271	1695
138	273	1691
139	274	1687
140	276	1683
141	277	1676
142	279	1673
143	281	1672
144	283	1668
145	284	1666
146	286	1662
147	288	1658
148	289	1655
149	291	1652
150	293	1649
151	295	1646
152	297	1645
153	299	1643
154	300	1640
155	302	1637
156	304	1634
157	306	1631
158	307	1627
159	309	1623
160	310	1617
161	312	1615
162	314	1614
163	316	1611
164	317	1607
165	319	1605
166	321	1602
167	323	1599
168	324	1597
169	327	1596
170	329	1595
171	330	1592
172	332	1589
173	334	1586
174	335	1582
175	337	1579
176	338	1576
177	340	1573
178	342	1571
179	344	1570
180	346	1567
181	348	1565
182	349	1562
183	351	1558
184	353	1555
185	354	1552
186	356	1551
187	358	1548
188	360	1547
189	362	1543
190	363	1540
191	365	1537
192	367	1534
193	368	1531
194	370	1529
195	372	1528
196	374	1526
197	376	1523
198	377	1521
199	379	1518
200	381	1515
201	382	1512
202	384	1509
203	386	1509
204	388	1506
205	390	1505
206	392	1501
207	393	1498
208	395	1495
209	396	1493
210	398	1490
211	400	1489
212	402	1488
213	404	1486
214	406	1484
215	408	1481
216	409	1478
217	411	1476
218	413	1474
219	415	1472
220	417	1471
221	419	1470
222	421	1467
223	422	1464
224	424	1461
225	426	1459
226	427	1456
227	429	1454
228	431	1453
229	433	1451
230	435	1450
231	437	1448
232	439	1445
233	440	1443
234	442	1440
235	444	1437
236	446	1436
237	448	1435
238	450	1433
239	451	1430
240	453	1427
241	454	1424
242	456	1421
243	458	1419
244	460	1419
245	462	1418
246	464	1416
247	466	1413
248	467	1411
249	469	1408
250	471	1405
251	472	1403
252	475	1405
253	477	1403
254	479	1401
255	481	1399
256	483	1397
257	485	1395
258	486	1393
259	488	1391
260	490	1389
261	492	1388
262	494	1386
263	496	1384
264	498	1382
265	500	1380
266	501	1378
267	503	1375
268	505	1374
269	507	1372
270	509	1371
271	511	1369
272	513	1368
273	515	1366
274	517	1364
275	519	1362
276	521	1360
277	523	1359
278	525	1358
279	527	1356
280	529	1353
281	531	1352
282	533	1350
283	534	1348
284	537	1348
285	540	1348
286	542	1347
287	545	1347
288	546	1345
289	548	1343
290	551	1342
291	553	1341
292	554	1339
293	556	1337
294	558	1335
295	560	1333
296	562	1331
297	564	1330
298	567	1330
299	569	1328
300	571	1326
301	573	1326
302	575	1324
303	577	1322
304	579	1320
305	581	1319
306	584	1320
307	587	1319
308	588	1316
309	590	1315
310	592	1313
311	595	1312
312	598	1314
313	601	1314
314	603	1312
315	605	1310
316	607	1308
317	609	1307
318	611	1305
319	613	1304
320	616	1304
321	618	1302
322	620	1299
323	621	1297
324	623	1295
325	626	1295
326	630	1296
327	631	1294
328	633	1292
329	635	1289
330	637	1287
331	638	1285
332	641	1284
333	645	1286
334	647	1285
335	649	1283
336	651	1281
337	653	1279
338	657	1281
339	659	1280
340	661	1278
341	663	1276
342	665	1274
343	667	1272
344	669	1270
345	672	1270
346	675	1270
347	676	1267
348	678	1265
349	679	1262
350	681	1260
351	683	1257
352	685	1256
353	688	1255
354	690	1254
355	692	1251
356	693	1249
357	695	1247
358	697	1244
359	699	1243
360	701	1241
361	703	1240
362	705	1238
363	707	1236
364	709	1233
365	710	1231
366	712	1229
367	715	1228
368	717	1226
369	719	1225
370	721	1223
371	723	1220
372	724	1218
373	726	1216
374	728	1214
375	731	1213
376	733	1212
377	735	1209
378	737	1207
379	738	1205
380	740	1203
381	742	1200
382	744	1198
383	746	1197
384	748	1196
385	750	1194
386	752	1192
387	754	1190
388	756	1187
389	758	1185
390	760	1184
391	762	1183
392	764	1181
393	766	1178
394	768	1176
395	770	1174
396	771	1172
397	773	1170
398	776	1169
399	778	1168
400	780	1165
401	782	1163
402	784	1161
403	785	1159
404	787	1156
405	789	1154
406	791	1152
407	793	1150
408	795	1149
409	796	1146
410	798	1144
411	800	1142
412	801	1139
413	804	1138
414	806	1136
415	808	1134
416	810	1133
417	812	1130
418	813	1128
419	815	1125
420	817	1123
421	818	1121
422	820	1119
423	823	1118
424	824	1115
425	826	1113
426	828	1111
427	829	1108
428	831	1106
429	833	1104
430	835	1102
431	836	1100
432	839	1098
433	840	1096
434	842	1094
435	844	1092
436	846	1089
437	847	1087
438	849	1085
439	851	1083
440	853	1081
441	854	1079
442	856	1077
443	858	1074
444	859	1072
445	861	1070
446	863	1068
447	865	1066
448	867	1064
449	869	1062
450	871	1060
451	872	1057
452	874	1055
453	875	1053
454	877	1051
455	879	1049
456	881	1047
457	883	1045
458	885	1043
459	886	1040
460	888	1038
461	890	1036
462	891	1034
463	893	1032
464	896	1030
465	897	1029
466	899	1026
467	901	1024
468	902	1022
469	904	1019
470	905	1017
471	907	1015
472	909	1013
473	911	1011
474	913	1009
475	915	1007
476	916	1005
477	918	1002
478	919	1000
479	921	998
480	923	995
481	925	994
482	927	992
483	929	990
484	930	988
485	932	986
486	934	984
487	936	982
488	937	980
489	940	978
490	942	976
491	943	974
492	945	972
493	947	970
494	948	967
495	950	965
496	952	963
497	954	962
498	956	960
499	958	958
500	959	955
501	961	953
502	963	951
503	964	949
504	966	947
505	968	945
506	970	943
507	972	941
508	974	939
509	975	937
510	977	935
511	979	933
512	981	931
513	983	929
514	985	928
515	987	926
516	989	924
517	991	922
518	993	920
519	995	919
520	998	918
521	1001	916
522	1003	915
523	1005	913
524	1008	912
525	1010	910
526	1012	908
527	1016	908
